Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
112	TR	A3LNJ6	S-adenosylmethionine synthase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=SAM2 PE=3 SV=1	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	385	1583	78.9	88.4	0.0
113	TR	A0A8J5EJ17	S-adenosylmethionine synthase OS=Yarrowia sp. E02 OX=2768841 GN=CKK34_1806 PE=3 SV=1	Yarrowia sp. E02	386	1583	79.4	88.7	0.0
114	TR	W1QFY7	S-adenosylmethionine synthase OS=Ogataea parapolymorpha (strain ATCC 26012 / BCRC 20466 / JCM 22074 / NRRL Y-7560 / DL-1) OX=871575 GN=HPODL_00414 PE=3 SV=1	Ogataea parapolymorpha (strain ATCC 26012 / BCRC 20466 / JCM 22074 / NRRL Y-7560 / DL-1)	382	1583	79.2	87.9	0.0
115	TR	Q6CEM5	S-adenosylmethionine synthase OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=YALI0_B14509g PE=3 SV=1	Yarrowia lipolytica (strain CLIB 122 / E 150)	386	1582	79.2	88.7	0.0
116	TR	A0A1D8N7S8	S-adenosylmethionine synthase OS=Yarrowia lipolytica OX=4952 GN=B0I71DRAFT_135352 PE=3 SV=1	Yarrowia lipolytica	386	1582	79.2	88.7	0.0
117	TR	A0A4T0WXV1	S-adenosylmethionine synthase OS=Pichia inconspicua OX=52247 GN=CANINC_003753 PE=3 SV=1	Pichia inconspicua	383	1582	78.6	88.4	0.0
118	TR	A0A8J5AWK7	S-adenosylmethionine synthase OS=Yarrowia sp. B02 OX=2768839 GN=CJU89_3435 PE=3 SV=1	Yarrowia sp. B02	386	1582	79.2	88.7	0.0
119	TR	G3AFZ5	S-adenosylmethionine synthase OS=Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1) OX=619300 GN=SPAPADRAFT_58322 PE=3 SV=1	Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)	385	1581	79.7	88.4	0.0
120	TR	A0AAV5RP39	S-adenosylmethionine synthase OS=Starmerella bacillaris OX=1247836 GN=DASB73_041680 PE=3 SV=1	Starmerella bacillaris	382	1581	78.2	89.2	0.0
121	TR	A0AB34PZX4	S-adenosylmethionine synthase OS=Candida albicans P78048 OX=1094989 GN=MG3_01160 PE=3 SV=1	Candida albicans P78048	385	1580	79.4	87.9	0.0
122	TR	G1UAC4	S-adenosylmethionine synthase (Fragment) OS=Candida albicans OX=5476 GN=sam2 PE=2 SV=1	Candida albicans	385	1580	79.4	87.9	0.0
123	TR	C4YCQ7	S-adenosylmethionine synthase OS=Candida albicans (strain WO-1) OX=294748 GN=CAWG_00291 PE=3 SV=1	Candida albicans (strain WO-1)	385	1580	79.4	87.9	0.0
124	TR	A0A871R6Y4	S-adenosylmethionine synthase OS=Dekkera bruxellensis OX=5007 GN=SAM1 PE=3 SV=1	Dekkera bruxellensis	386	1579	79.6	88.1	0.0
125	TR	A0AAV5QZA2	S-adenosylmethionine synthase OS=Pichia kluyveri OX=36015 GN=DAPK24_010940 PE=3 SV=1	Pichia kluyveri	384	1579	79.4	88.4	0.0
126	TR	A0A9P8TCH6	S-adenosylmethionine synthase OS=Wickerhamomyces mucosus OX=1378264 GN=WICMUC_003270 PE=3 SV=1	Wickerhamomyces mucosus	382	1578	78.8	88.0	0.0
127	TR	A0AA91Q3S8	S-adenosylmethionine synthase OS=Clavispora lusitaniae OX=36911 GN=A9F13_03g03179 PE=3 SV=1	Clavispora lusitaniae	382	1578	78.3	88.2	0.0
128	TR	C4Y9L6	S-adenosylmethionine synthase OS=Clavispora lusitaniae (strain ATCC 42720) OX=306902 GN=CLUG_04906 PE=3 SV=1	Clavispora lusitaniae (strain ATCC 42720)	382	1578	78.3	88.2	0.0
129	TR	A0A1E3NRQ2	S-adenosylmethionine synthase OS=Pichia membranifaciens NRRL Y-2026 OX=763406 GN=PICMEDRAFT_14275 PE=3 SV=1	Pichia membranifaciens NRRL Y-2026	382	1576	78.0	87.7	0.0
130	TR	A0A2V1ADE6	S-adenosylmethionine synthase OS=Candidozyma duobushaemuli OX=1231522 GN=CXQ87_003551 PE=3 SV=1	Candidozyma duobushaemuli	382	1576	78.0	88.2	0.0
131	TR	A0AAV5QEI2	S-adenosylmethionine synthase OS=Saccharomycopsis crataegensis OX=43959 GN=DASC09_001900 PE=3 SV=1	Saccharomycopsis crataegensis	383	1576	78.5	89.4	0.0
132	TR	A0A0V1Q6V4	S-adenosylmethionine synthase OS=Debaryomyces fabryi OX=58627 GN=AC631_00044 PE=3 SV=1	Debaryomyces fabryi	383	1576	78.9	87.5	0.0
133	TR	A0A875S4S6	S-adenosylmethionine synthase OS=Eeniella nana OX=13502 GN=SAM1 PE=3 SV=1	Eeniella nana	383	1575	79.0	89.1	0.0
134	TR	A0A1E4SX44	S-adenosylmethionine synthase OS=[Candida] arabinofermentans NRRL YB-2248 OX=983967 GN=CANARDRAFT_18944 PE=3 SV=1	[Candida] arabinofermentans NRRL YB-2248	382	1575	79.8	86.9	0.0
135	TR	A0A512ULL3	S-adenosylmethionine synthase OS=Metschnikowia sp. JCM 33374 OX=2562755 GN=JCM33374_g5636 PE=3 SV=1	Metschnikowia sp. JCM 33374	382	1574	78.8	88.0	0.0
136	TR	A0A421JNH9	S-adenosylmethionine synthase OS=Spathaspora sp. JA1 OX=2028339 GN=JA1_003103 PE=3 SV=1	Spathaspora sp. JA1	385	1574	79.7	87.9	0.0
137	TR	A0AAX4H577	S-adenosylmethionine synthase OS=Australozyma saopauloensis OX=291208 GN=PUMCH_000913 PE=3 SV=1	Australozyma saopauloensis	382	1573	78.5	87.7	0.0
138	TR	G8XZH5	S-adenosylmethionine synthase OS=Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695) OX=559304 GN=Piso0_005621 PE=3 SV=1	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)	382	1573	77.9	87.9	0.0
139	TR	K1VR84	S-adenosylmethionine synthase OS=Trichosporon asahii var. asahii (strain CBS 8904) OX=1220162 GN=A1Q2_03687 PE=3 SV=1	Trichosporon asahii var. asahii (strain CBS 8904)	396	1572	79.2	88.7	0.0
140	TR	J6F6B9	S-adenosylmethionine synthase OS=Trichosporon asahii var. asahii (strain ATCC 90039 / CBS 2479 / JCM 2466 / KCTC 7840 / NBRC 103889/ NCYC 2677 / UAMH 7654) OX=1186058 GN=A1Q1_07980 PE=3 SV=1	Trichosporon asahii var. asahii (strain ATCC 90039 / CBS 2479 / JCM 2466 / KCTC 7840 / NBRC 103889/ NCYC 2677 / UAMH 7654)	396	1572	79.2	88.7	0.0
141	TR	A0A060TA33	S-adenosylmethionine synthase OS=Blastobotrys adeninivorans OX=409370 GN=GNLVRS02_ARAD1D16148g PE=3 SV=1	Blastobotrys adeninivorans	385	1572	79.1	89.2	0.0
142	TR	A0A167CCR1	S-adenosylmethionine synthase OS=Sugiyamaella lignohabitans OX=796027 GN=SAM2 PE=3 SV=1	Sugiyamaella lignohabitans	384	1572	79.6	88.1	0.0
143	TR	A0AAD5BE82	S-adenosylmethionine synthase OS=Candida theae OX=1198502 GN=KGF57_002833 PE=3 SV=1	Candida theae	385	1571	78.8	88.4	0.0
144	TR	A0A1E4SH34	S-adenosylmethionine synthase OS=Suhomyces tanzawaensis NRRL Y-17324 OX=984487 GN=CANTADRAFT_26733 PE=3 SV=1	Suhomyces tanzawaensis NRRL Y-17324	383	1571	79.1	87.3	0.0
145	TR	A0A1E3P4X5	S-adenosylmethionine synthase OS=Wickerhamomyces anomalus (strain ATCC 58044 / CBS 1984 / NCYC 433 / NRRL Y-366-8) OX=683960 GN=WICANDRAFT_63030 PE=3 SV=1	Wickerhamomyces anomalus (strain ATCC 58044 / CBS 1984 / NCYC 433 / NRRL Y-366-8)	382	1571	78.8	88.0	0.0
146	TR	A0A8J5QRN3	S-adenosylmethionine synthase OS=[Candida] subhashii OX=561895 GN=J8A68_001129 PE=3 SV=1	[Candida] subhashii	385	1570	79.6	87.8	0.0
147	TR	A0A0H5C8F2	S-adenosylmethionine synthase OS=Cyberlindnera jadinii (strain ATCC 18201 / CBS 1600 / BCRC 20928 / JCM 3617 / NBRC 0987 / NRRL Y-1542) OX=983966 GN=SAM2 PE=3 SV=1	Cyberlindnera jadinii (strain ATCC 18201 / CBS 1600 / BCRC 20928 / JCM 3617 / NBRC 0987 / NRRL Y-1542)	385	1570	78.5	87.7	0.0
148	TR	V5FY21	S-adenosylmethionine synthase OS=Anoplophora glabripennis OX=217634 GN=METK PE=3 SV=1	Anoplophora glabripennis	385	1570	78.5	87.7	0.0
149	TR	A0A1E3QVX0	S-adenosylmethionine synthase OS=Babjeviella inositovora NRRL Y-12698 OX=984486 GN=BABINDRAFT_160521 PE=3 SV=1	Babjeviella inositovora NRRL Y-12698	385	1570	78.4	88.4	0.0
150	SP	O60198	S-adenosylmethionine synthase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sam1 PE=1 SV=1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	382	1570	76.4	88.5	0.0
151	TR	A0A4P6XSN4	S-adenosylmethionine synthase OS=Metschnikowia aff. pulcherrima OX=2163413 GN=MPUL0D00500 PE=3 SV=1	Metschnikowia aff. pulcherrima	382	1569	78.8	87.7	0.0
152	TR	A0A1A0H4Y6	S-adenosylmethionine synthase OS=Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993 OX=869754 GN=METBIDRAFT_33603 PE=3 SV=1	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	382	1569	78.8	87.2	0.0
153	TR	A0A0U5GTE1	S-adenosylmethionine synthase OS=Aspergillus calidoustus OX=454130 GN=ASPCAL08935 PE=3 SV=1	Aspergillus calidoustus	388	1568	78.4	87.4	0.0
154	TR	A0A9P8NW05	S-adenosylmethionine synthase OS=Ogataea philodendri OX=1378263 GN=OGAPHI_007264 PE=3 SV=1	Ogataea philodendri	392	1567	78.7	88.6	0.0
155	TR	A0AAD4CP30	S-adenosylmethionine synthase OS=Aspergillus nanangensis OX=2582783 GN=SAM2 PE=3 SV=1	Aspergillus nanangensis	388	1565	77.6	87.9	0.0
156	TR	A0A1E4TJ08	S-adenosylmethionine synthase OS=Tortispora caseinolytica NRRL Y-17796 OX=767744 GN=CANCADRAFT_20829 PE=3 SV=1	Tortispora caseinolytica NRRL Y-17796	384	1565	78.1	88.1	0.0
157	TR	A0A1D2VIA6	S-adenosylmethionine synthase OS=Ascoidea rubescens DSM 1968 OX=1344418 GN=ASCRUDRAFT_75407 PE=3 SV=1	Ascoidea rubescens DSM 1968	389	1565	78.3	88.9	0.0
158	TR	A5DU60	S-adenosylmethionine synthase OS=Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239) OX=379508 GN=LELG_00896 PE=3 SV=1	Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239)	385	1564	78.4	87.9	0.0
159	TR	A0A9W6SZW4	S-adenosylmethionine synthase OS=Candida boidinii OX=5477 GN=Cboi02_000249800 PE=3 SV=1	Candida boidinii	385	1564	80.7	87.3	0.0
160	TR	A0A8X7NSE8	S-adenosylmethionine synthase OS=Candida parapsilosis OX=5480 GN=FOB60_000795 PE=3 SV=1	Candida parapsilosis	385	1563	78.8	87.8	0.0
161	TR	G8BD11	S-adenosylmethionine synthase OS=Candida parapsilosis (strain CDC 317 / ATCC MYA-4646) OX=578454 GN=CPAR2_207990 PE=3 SV=1	Candida parapsilosis (strain CDC 317 / ATCC MYA-4646)	385	1563	78.8	87.8	0.0
162	TR	H8WWX7	S-adenosylmethionine synthase OS=Candida orthopsilosis (strain 90-125) OX=1136231 GN=CORT_0A07320 PE=3 SV=1	Candida orthopsilosis (strain 90-125)	385	1562	78.6	87.8	0.0
163	TR	A0A9W7DL61	S-adenosylmethionine synthase OS=Ambrosiozyma monospora OX=43982 GN=Amon01_000520800 PE=3 SV=1	Ambrosiozyma monospora	383	1562	79.3	87.0	0.0
164	TR	A0A9P5KNG8	S-adenosylmethionine synthase OS=Geotrichum candidum OX=1173061 GN=DV451_005131 PE=3 SV=1	Geotrichum candidum	387	1561	79.4	87.3	0.0
165	TR	B6K4U6	S-adenosylmethionine synthase OS=Schizosaccharomyces japonicus (strain yFS275 / FY16936) OX=402676 GN=sam1 PE=3 SV=1	Schizosaccharomyces japonicus (strain yFS275 / FY16936)	384	1561	77.6	88.7	0.0
166	TR	A0A5N6GCH1	S-adenosylmethionine synthase OS=Petromyces alliaceus OX=209559 GN=SAM2 PE=3 SV=1	Petromyces alliaceus	390	1561	78.2	87.6	0.0
167	TR	B9W9E6	S-adenosylmethionine synthase OS=Candida dubliniensis (strain CD36 / ATCC MYA-646 / CBS 7987 / NCPF 3949 / NRRL Y-17841) OX=573826 GN=Cd36_10740 PE=3 SV=1	Candida dubliniensis (strain CD36 / ATCC MYA-646 / CBS 7987 / NCPF 3949 / NRRL Y-17841)	385	1561	78.9	87.1	0.0
168	TR	A0A1E3PLG8	S-adenosylmethionine synthase OS=Nadsonia fulvescens var. elongata DSM 6958 OX=857566 GN=NADFUDRAFT_45792 PE=3 SV=1	Nadsonia fulvescens var. elongata DSM 6958	385	1560	78.1	88.7	0.0
169	TR	A0A3D8RQQ3	S-adenosylmethionine synthase OS=Aspergillus mulundensis OX=1810919 GN=DSM5745_06409 PE=3 SV=1	Aspergillus mulundensis	388	1560	77.6	87.1	0.0
170	TR	A0A448YQ86	S-adenosylmethionine synthase OS=Brettanomyces naardenensis OX=13370 GN=BRENAR_LOCUS3836 PE=3 SV=1	Brettanomyces naardenensis	383	1559	79.0	88.0	0.0
171	TR	A0A642UJ25	S-adenosylmethionine synthase OS=Trichomonascus ciferrii OX=44093 GN=TRICI_006269 PE=3 SV=1	Trichomonascus ciferrii	384	1558	79.2	87.9	0.0
172	TR	A0A5M3YR51	S-adenosylmethionine synthase OS=Aspergillus terreus OX=33178 GN=ATEIFO6365_0003025600 PE=3 SV=1	Aspergillus terreus	388	1558	78.2	87.1	0.0
173	TR	A0A0J9XBA7	S-adenosylmethionine synthase OS=Geotrichum candidum OX=1173061 GN=BN980_GECA08s03948g PE=3 SV=1	Geotrichum candidum	387	1557	79.2	87.3	0.0
174	TR	G8Y2G8	S-adenosylmethionine synthase OS=Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695) OX=559304 GN=Piso0_005621 PE=3 SV=1	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)	382	1557	76.8	88.2	0.0
175	TR	A0A9P8Q928	S-adenosylmethionine synthase OS=Wickerhamomyces pijperi OX=599730 GN=WICPIJ_003878 PE=3 SV=1	Wickerhamomyces pijperi	381	1556	77.8	87.9	0.0
176	TR	W6MKI9	S-adenosylmethionine synthase OS=Kuraishia capsulata CBS 1993 OX=1382522 GN=KUCA_T00002866001 PE=3 SV=1	Kuraishia capsulata CBS 1993	383	1554	78.8	87.5	0.0
177	TR	K0KJQ9	S-adenosylmethionine synthase OS=Wickerhamomyces ciferrii (strain ATCC 14091 / BCRC 22168 / CBS 111 / JCM 3599 / NBRC 0793 / NRRL Y-1031 F-60-10) OX=1206466 GN=SAM2 PE=3 SV=1	Wickerhamomyces ciferrii (strain ATCC 14091 / BCRC 22168 / CBS 111 / JCM 3599 / NBRC 0793 / NRRL Y-1031 F-60-10)	383	1554	78.0	87.7	0.0
178	TR	A0A1L0C178	S-adenosylmethionine synthase (Fragment) OS=Sungouiella intermedia OX=45354 GN=SAMEA4029009_CIC11G00000005791 PE=3 SV=1	Sungouiella intermedia	383	1554	77.5	87.2	0.0
179	TR	A0A9P8P3W3	S-adenosylmethionine synthase OS=Ogataea polymorpha OX=460523 GN=OGATHE_003585 PE=3 SV=1	Ogataea polymorpha	771	1554	78.0	87.3	0.0
180	TR	A0A5N6ZLX3	S-adenosylmethionine synthase OS=Aspergillus caelatus OX=61420 GN=BDV27DRAFT_66063 PE=3 SV=1	Aspergillus caelatus	390	1553	77.2	86.9	0.0
181	TR	A0A8H7Z923	S-adenosylmethionine synthase OS=Candida metapsilosis OX=273372 GN=I9W82_005144 PE=3 SV=1	Candida metapsilosis	385	1553	78.0	87.6	0.0
182	TR	A0A1E3Q1Y7	S-adenosylmethionine synthase OS=Lipomyces starkeyi NRRL Y-11557 OX=675824 GN=LIPSTDRAFT_328593 PE=3 SV=1	Lipomyces starkeyi NRRL Y-11557	384	1553	78.5	87.8	0.0
183	TR	A1D317	S-adenosylmethionine synthase OS=Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) OX=331117 GN=NFIA_015020 PE=3 SV=1	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)	387	1552	76.9	86.9	0.0
184	TR	A0AAD9SW55	S-adenosylmethionine synthase OS=Diplocarpon rosae OX=946125 GN=QTJ16_005953 PE=3 SV=1	Diplocarpon rosae	393	1552	78.0	87.0	0.0
185	TR	A0A5N6UER8	S-adenosylmethionine synthase OS=Aspergillus tamarii OX=41984 GN=BDV40DRAFT_62039 PE=3 SV=1	Aspergillus tamarii	390	1552	77.2	86.9	0.0
186	TR	A0A8H3NW14	S-adenosylmethionine synthase OS=Aspergillus udagawae OX=91492 GN=Aud_008493 PE=3 SV=1	Aspergillus udagawae	387	1551	76.9	86.9	0.0
187	TR	A0A427XNK4	S-adenosylmethionine synthase OS=Apiotrichum porosum OX=105984 GN=SAM2 PE=3 SV=1	Apiotrichum porosum	396	1551	77.7	87.9	0.0
188	TR	Q4WT41	S-adenosylmethionine synthase OS=Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) OX=330879 GN=AFUA_1G10630 PE=3 SV=1	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	387	1550	76.9	86.9	0.0
189	TR	B0XQI2	S-adenosylmethionine synthase OS=Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) OX=451804 GN=AFUB_010050 PE=3 SV=1	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	387	1550	76.9	86.9	0.0
190	TR	A0AAN4PU75	S-adenosylmethionine synthase OS=Aspergillus lentulus OX=293939 GN=ALT_8189 PE=3 SV=1	Aspergillus lentulus	387	1550	76.9	86.9	0.0
191	TR	A0A8H6PFD5	S-adenosylmethionine synthase OS=Aspergillus hiratsukae OX=1194566 GN=CNMCM5793_004447 PE=3 SV=1	Aspergillus hiratsukae	388	1550	76.6	86.9	0.0
192	TR	A0A229W5W6	S-adenosylmethionine synthase OS=Aspergillus fumigatus OX=746128 GN=ETH1 PE=3 SV=1	Aspergillus fumigatus	387	1550	76.9	86.9	0.0
193	TR	A0A2B7X8X5	S-adenosylmethionine synthase OS=Helicocarpus griseus UAMH5409 OX=1447875 GN=AJ79_06844 PE=3 SV=1	Helicocarpus griseus UAMH5409	390	1549	76.8	87.6	0.0
194	TR	A0AA48L3S0	S-adenosylmethionine synthase OS=Cutaneotrichosporon cavernicola OX=279322 GN=SAM2 PE=3 SV=1	Cutaneotrichosporon cavernicola	396	1549	78.0	87.7	0.0
195	TR	A0A229YZF1	S-adenosylmethionine synthase OS=Aspergillus turcosus OX=1245748 GN=ETH1 PE=3 SV=1	Aspergillus turcosus	388	1549	76.6	86.9	0.0
196	TR	A0A2I1C9I9	S-adenosylmethionine synthase OS=Aspergillus novofumigatus (strain IBT 16806) OX=1392255 GN=P174DRAFT_441588 PE=3 SV=1	Aspergillus novofumigatus (strain IBT 16806)	387	1548	76.6	86.6	0.0
197	TR	A0A0L6WDZ6	S-adenosylmethionine synthase OS=Termitomyces sp. J132 OX=1306850 GN=J132_09699 PE=3 SV=1	Termitomyces sp. J132	393	1548	77.3	87.9	0.0
198	TR	A0A2I2FTF2	S-adenosylmethionine synthase OS=Aspergillus steynii IBT 23096 OX=1392250 GN=P170DRAFT_441365 PE=3 SV=1	Aspergillus steynii IBT 23096	388	1548	77.9	86.8	0.0
199	TR	A0AAD7VPZ6	S-adenosylmethionine synthase OS=Lipomyces tetrasporus OX=54092 GN=POJ06DRAFT_259307 PE=3 SV=1	Lipomyces tetrasporus	384	1547	78.5	87.8	0.0
200	TR	S3DYX8	S-adenosylmethionine synthase OS=Glarea lozoyensis (strain ATCC 20868 / MF5171) OX=1116229 GN=GLAREA_12314 PE=3 SV=1	Glarea lozoyensis (strain ATCC 20868 / MF5171)	395	1547	77.6	87.1	0.0
201	TR	A0A8H4MAA3	S-adenosylmethionine synthase OS=Aspergillus fumigatiaffinis OX=340414 GN=CNMCM6805_007988 PE=3 SV=1	Aspergillus fumigatiaffinis	387	1547	76.6	86.6	0.0
202	TR	A0AAF0YHT7	S-adenosylmethionine synthase OS=Vanrija pseudolonga OX=143232 GN=eth-1 PE=3 SV=1	Vanrija pseudolonga	396	1547	77.7	87.9	0.0
203	TR	A0A067XH96	S-adenosylmethionine synthase (Fragment) OS=Pichia angusta OX=870730 GN=sam2 PE=3 SV=1	Pichia angusta	745	1547	79.5	88.1	0.0
204	TR	A0A9P3ESE9	S-adenosylmethionine synthase OS=Aspergillus pseudoviridinutans OX=1517512 GN=Asppvi_002795 PE=3 SV=1	Aspergillus pseudoviridinutans	387	1547	76.6	86.6	0.0
205	TR	H0EG82	S-adenosylmethionine synthase OS=Glarea lozoyensis (strain ATCC 74030 / MF5533) OX=1104152 GN=M7I_1492 PE=3 SV=1	Glarea lozoyensis (strain ATCC 74030 / MF5533)	395	1547	77.6	87.1	0.0
206	TR	A0A2S4KP94	S-adenosylmethionine synthase OS=Tolypocladium paradoxum OX=94208 GN=TPAR_07818 PE=3 SV=1	Tolypocladium paradoxum	400	1546	77.7	87.1	0.0
207	TR	A0A9P0QQB2	S-adenosylmethionine synthase OS=[Candida] railenensis OX=45579 GN=SAM2 PE=3 SV=1	[Candida] railenensis	385	1545	78.2	87.3	0.0
208	TR	A0A395HUE6	S-adenosylmethionine synthase OS=Aspergillus homomorphus (strain CBS 101889) OX=1450537 GN=BO97DRAFT_346870 PE=3 SV=1	Aspergillus homomorphus (strain CBS 101889)	389	1545	75.8	87.6	0.0
209	TR	A0A5N6TUX7	S-adenosylmethionine synthase OS=Aspergillus avenaceus OX=36643 GN=BDV25DRAFT_155158 PE=3 SV=1	Aspergillus avenaceus	390	1545	76.9	87.1	0.0
210	TR	A0A0C2T284	S-adenosylmethionine synthase OS=Amanita muscaria (strain Koide BX008) OX=946122 GN=M378DRAFT_1050842 PE=3 SV=1	Amanita muscaria (strain Koide BX008)	393	1544	77.2	88.1	0.0
211	TR	A0A0G2FBU6	S-adenosylmethionine synthase OS=Diaporthe ampelina OX=1214573 GN=UCDDA912_g08388 PE=3 SV=1	Diaporthe ampelina	391	1544	77.4	88.2	0.0
212	TR	A0A2B7WUD8	S-adenosylmethionine synthase OS=Blastomyces parvus OX=2060905 GN=GX51_06011 PE=3 SV=1	Blastomyces parvus	390	1544	76.3	86.8	0.0
213	TR	A0A9W9Q948	S-adenosylmethionine synthase OS=Penicillium brevicompactum OX=5074 GN=N7452_009846 PE=3 SV=1	Penicillium brevicompactum	390	1543	76.6	86.1	0.0
214	TR	A0A7D8Z0A4	S-adenosylmethionine synthase OS=Vanrija humicola OX=5417 GN=VHUM_03844 PE=3 SV=1	Vanrija humicola	396	1543	77.9	87.9	0.0
215	TR	A0A9P4IP27	S-adenosylmethionine synthase OS=Rhizodiscina lignyota OX=1504668 GN=NA57DRAFT_73381 PE=3 SV=1	Rhizodiscina lignyota	389	1543	77.2	86.9	0.0
216	TR	A0A2B7XZE7	S-adenosylmethionine synthase OS=Polytolypa hystricis (strain UAMH7299) OX=1447883 GN=AJ80_06018 PE=3 SV=1	Polytolypa hystricis (strain UAMH7299)	392	1543	76.1	87.1	0.0
217	TR	A0A397FXL6	S-adenosylmethionine synthase OS=Aspergillus thermomutatus OX=41047 GN=ETH1 PE=3 SV=1	Aspergillus thermomutatus	387	1543	76.6	86.4	0.0
218	TR	A0A8H6R0T8	S-adenosylmethionine synthase OS=Aspergillus felis OX=1287682 GN=CNMCM5623_008492 PE=3 SV=1	Aspergillus felis	387	1543	76.6	86.6	0.0
219	TR	A0A318ZD13	S-adenosylmethionine synthase OS=Aspergillus saccharolyticus JOP 1030-1 OX=1450539 GN=BP01DRAFT_321420 PE=3 SV=1	Aspergillus saccharolyticus JOP 1030-1	389	1543	75.8	87.1	0.0
220	TR	A0A0L0NMI8	S-adenosylmethionine synthase OS=Tolypocladium ophioglossoides (strain CBS 100239) OX=1163406 GN=TOPH_00204 PE=3 SV=1	Tolypocladium ophioglossoides (strain CBS 100239)	400	1543	77.4	87.1	0.0
221	TR	A0A2J6SCS9	S-adenosylmethionine synthase OS=Hyaloscypha variabilis (strain UAMH 11265 / GT02V1 / F) OX=1149755 GN=L207DRAFT_575234 PE=3 SV=1	Hyaloscypha variabilis (strain UAMH 11265 / GT02V1 / F)	398	1543	76.6	86.6	0.0
222	TR	A0A9P3F5T9	S-adenosylmethionine synthase OS=Aspergillus viridinutans OX=75553 GN=Aspvir_006892 PE=3 SV=1	Aspergillus viridinutans	387	1542	76.4	86.6	0.0
223	TR	A0A5N6DZ56	S-adenosylmethionine synthase OS=Aspergillus parasiticus OX=5067 GN=BDV34DRAFT_186887 PE=3 SV=1	Aspergillus parasiticus	390	1542	75.6	87.1	0.0
224	TR	A0A4S3J7J7	S-adenosylmethionine synthase OS=Aspergillus tanneri OX=1220188 GN=SAM2 PE=3 SV=1	Aspergillus tanneri	389	1542	77.1	86.6	0.0
225	TR	A0A6A6I2Q1	S-adenosylmethionine synthase OS=Trematosphaeria pertusa OX=390896 GN=BU26DRAFT_568573 PE=3 SV=1	Trematosphaeria pertusa	393	1542	77.4	86.6	0.0
226	TR	A0A6G1IB50	S-adenosylmethionine synthase OS=Trichodelitschia bisporula OX=703511 GN=EJ06DRAFT_518274 PE=3 SV=1	Trichodelitschia bisporula	390	1542	77.2	86.8	0.0
227	TR	A0A5N6VMP0	S-adenosylmethionine synthase OS=Aspergillus transmontanensis OX=1034304 GN=BDV41DRAFT_546541 PE=3 SV=1	Aspergillus transmontanensis	390	1542	75.6	87.1	0.0
228	TR	A0AAD6TLI2	S-adenosylmethionine synthase OS=Mycena alexandri OX=1745969 GN=C8F04DRAFT_1062617 PE=3 SV=1	Mycena alexandri	392	1541	76.8	87.9	0.0
229	TR	A0A2K3QII1	S-adenosylmethionine synthase OS=Tolypocladium capitatum OX=45235 GN=TCAP_02754 PE=3 SV=1	Tolypocladium capitatum	410	1541	77.4	87.1	0.0
230	TR	A0A5N6YXT6	S-adenosylmethionine synthase OS=Aspergillus coremiiformis OX=138285 GN=BDV28DRAFT_143360 PE=3 SV=1	Aspergillus coremiiformis	390	1541	77.2	86.6	0.0
231	TR	Q5BE08	S-adenosylmethionine synthase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=ANIA_01222 PE=3 SV=1	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	388	1540	76.6	86.6	0.0
